Date,Year,Offense,Address,Zip,Latitude,Longitude
12/16/20 20:58,2020,AGGRAVATED ASSAULT,2608 S MAPLE ST,72205,34.749005,-92.320097
12/19/20 6:44,2020,BURGLARY/B&E,3518  ARAPAHO TRL  32,72209,34.661156,-92.318768
12/17/20 13:15,2020,ROBBERY,923 W 7TH ST,72201,34.743361,-92.282103
12/19/20 12:55,2020,AGGRAVATED ASSAULT,7501  EMBER LN,72209,34.667065,-92.35237
12/18/20 0:47,2020,AGGRAVATED ASSAULT,1102 S WOODROW ST APT A,72204,34.740616,-92.305986
12/17/20 13:26,2020,BURGLARY/B&E,1706  SHUMATE DR,72212,34.77019,-92.41695
12/4/20 23:38,2020,RAPE,,,,
12/18/20 14:02,2020,AGGRAVATED ASSAULT,9219  TIMBER VALLEY RD,72204,34.700143,-92.381165
12/18/20 23:03,2020,BURGLARY/B&E,8120 W MARKHAM ST,72204,34.753775,-92.365297
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
12/16/20 23:48,2020,AGGRAVATED ASSAULT,10434 W 36TH ST,72204,34.723732,-92.391809
12/15/20 23:29,2020,BURGLARY/B&E,12524 CHENAL PKY,72211,34.753762,-92.412726
12/21/20 16:59,2020,BURGLARY/B&E,4105  ELAM ST,72204,34.716034,-92.376264
11/30/20 0:00,2020,AGGRAVATED ASSAULT,6815  FORBING RD,72209,34.683758,-92.353375
12/19/20 16:31,2020,AGGRAVATED ASSAULT,311 E 8TH ST,72201,34.74021,-92.268856
12/5/20 13:17,2020,RAPE,,,,
12/20/20 17:13,2020,AGGRAVATED ASSAULT,12300  OTTER CREEK RD,72210,34.6713,-92.418142
12/20/20 5:46,2020,ROBBERY,10000 W MARKHAM ST,72205,34.754249,-92.384988
12/19/20 17:35,2020,AGGRAVATED ASSAULT,2024  DENNISON ST,72202,34.729883,-92.299847
8/16/20 17:14,2020,RAPE,,,,
12/20/20 19:44,2020,AGGRAVATED ASSAULT,2010  REBSAMEN PARK RD,72202,34.769979,-92.311575
12/21/20 13:40,2020,ROBBERY,4202 APPLE AVE,72206,34.705227,-92.21521
12/16/20 0:08,2020,AGGRAVATED ASSAULT,1602 GREEN MOUNTAIN DR,72202,34.742747,-92.29279
12/14/20 16:09,2020,BURGLARY/B&E,10220 W MARKHAM ST,72205,34.754264,-92.387018
12/17/20 16:09,2020,AGGRAVATED ASSAULT,10200 JUDY LN,72209,34.657145,-92.348115
12/19/20 9:54,2020,BURGLARY/B&E,5  DON DR,72210,34.643626,-92.441691
12/20/20 19:45,2020,ROBBERY,1800 S ARCH ST,72207,34.737517,-92.370083
11/30/20 0:00,2020,AGGRAVATED ASSAULT,6815  FORBING RD,72209,34.683758,-92.353375
12/16/20 20:58,2020,AGGRAVATED ASSAULT,2608 S MAPLE ST,72205,34.749005,-92.320097
4/15/17 23:36,2017,AGGRAVATED ASSAULT,7220 CLOVERDALE DR,72209,34.669575,-92.35714
11/30/20 0:00,2020,AGGRAVATED ASSAULT,6815  FORBING RD,72209,34.683758,-92.353375
12/20/20 21:22,2020,BURGLARY/B&E,3405  PINEWOOD LOOP,72209,34.660632,-92.317013
12/19/20 16:31,2020,AGGRAVATED ASSAULT,311 E 8TH ST,72201,34.74021,-92.268856
12/18/20 0:47,2020,AGGRAVATED ASSAULT,1102 S WOODROW ST APT A,72204,34.740616,-92.305986
4/15/17 23:36,2017,AGGRAVATED ASSAULT,7220 CLOVERDALE DR,72209,34.669575,-92.35714
12/16/20 9:37,2020,BURGLARY/B&E,15401 CHENAL PKY,72223,34.75473,-92.440974
12/2/20 12:15,2020,RAPE,,,,
12/18/20 14:02,2020,AGGRAVATED ASSAULT,9219  TIMBER VALLEY RD,72204,34.700143,-92.381165
12/20/20 16:04,2020,AGGRAVATED ASSAULT,1111 W MARKHAM ST,72201,34.749488,-92.282894
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
12/18/20 1:52,2020,AGGRAVATED ASSAULT,6823  HINDMAN PARK WAY,72209,34.690986,-92.353961
12/17/20 15:53,2020,RAPE,,,,
12/20/20 20:05,2020,AGGRAVATED ASSAULT,2707 S ARCH ST,72206,34.722123,-92.279946
12/21/20 11:57,2020,AGGRAVATED ASSAULT,11601 N RODNEY PARHAM,72212,34.772025,-92.4025
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
9/6/19 14:30,2019,RAPE,,,,
12/17/20 1:00,2020,AGGRAVATED ASSAULT,1760 JOHN BARROW RD,72204,34.737178,-92.373151
12/17/20 22:01,2020,BURGLARY/B&E,4725  HOFFMAN RD,72209,34.69677,-92.329611
12/15/20 21:38,2020,BURGLARY/B&E,5213 W 65TH ST,72209,34.689801,-92.335388
12/10/20 19:43,2020,AGGRAVATED ASSAULT,1100 FAIR PARK BLVD,72204,34.741841,-92.335005
12/16/20 23:48,2020,AGGRAVATED ASSAULT,10434 W 36TH ST,72204,34.723732,-92.391809
10/22/20 22:55,2020,AGGRAVATED ASSAULT,7 PEAR TREE PL,72202,34.74274,-92.292783
7/21/20 6:51,2020,RAPE,,,,
12/19/20 12:11,2020,AGGRAVATED ASSAULT,6022  HINKSON RD,72209,34.661215,-92.342182
4/15/17 23:36,2017,AGGRAVATED ASSAULT,7220 CLOVERDALE DR,72209,34.669575,-92.35714
12/19/20 19:54,2020,AGGRAVATED ASSAULT,13500  CHENAL PKY  611,72211,34.756205,-92.425093
12/17/20 16:09,2020,AGGRAVATED ASSAULT,10200 JUDY LN,72209,34.657145,-92.348115
12/18/20 14:37,2020,BURGLARY/B&E,10  SHACKLEFORD DR,72211,34.754654,-92.396306
12/20/20 18:08,2020,BURGLARY/B&E,2904 S ARCH ST,72206,34.720272,-92.280603
3/28/17 8:00,2017,RAPE,,,,
8/30/20 3:11,2020,RAPE,,,,
7/2/20 19:10,2020,RAPE,,,,
8/19/20 14:45,2020,RAPE,,,,
8/29/20 3:04,2020,RAPE,,,,
2/10/19 1:00,2019,RAPE,,,,
5/31/20 12:34,2020,RAPE,,,,
4/27/18 18:35,2018,RAPE,,,,
2/4/17 19:38,2017,RAPE,,,,
8/1/20 17:35,2020,RAPE,,,,
7/24/20 14:29,2020,RAPE,,,,
10/20/20 0:56,2020,RAPE,,,,
7/27/20 0:10,2020,RAPE,,,,
4/26/19 12:28,2019,RAPE,,,,
11/6/17 0:53,2017,RAPE,,,,
7/11/19 8:00,2019,RAPE,,,,
7/24/20 14:29,2020,RAPE,,,,
12/11/20 19:03,2020,RAPE,,,,
10/26/20 16:02,2020,RAPE,,,,
4/24/18 2:40,2018,RAPE,,,,
6/18/20 12:40,2020,RAPE,,,,
9/2/20 14:37,2020,RAPE,,,,
6/20/19 23:00,2019,RAPE,,,,
8/5/20 11:42,2020,RAPE,,,,
8/10/20 14:56,2020,RAPE,,,,
8/17/20 3:10,2020,RAPE,,,,
11/1/20 0:09,2020,RAPE,,,,
3/23/17 17:26,2017,RAPE,,,,
7/19/20 1:11,2020,BURGLARY/B&E,915 S PARK ST,72202,,
6/26/20 21:22,2020,RAPE,,,,
6/22/19 1:00,2019,RAPE,,,,
7/3/20 11:49,2020,RAPE,,,,
8/12/20 8:22,2020,RAPE,,,,
9/23/19 11:00,2019,RAPE,,,,
4/15/17 9:58,2017,RAPE,,,,
6/23/20 9:41,2020,RAPE,,,,
9/14/20 23:52,2020,RAPE,,,,
9/5/20 0:00,2020,RAPE,,,,
8/31/20 13:58,2020,RAPE,,,,
5/4/18 19:24,2018,RAPE,,,,
2/27/20 14:00,2020,RAPE,,,,
2/4/19 6:30,2019,RAPE,,,,
2/6/17 8:00,2017,RAPE,,,,
9/14/20 20:39,2020,RAPE,,,,
8/14/20 4:05,2020,RAPE,,,,
10/26/20 11:52,2020,RAPE,,,,
10/17/19 21:00,2019,RAPE,,,,
5/16/17 19:00,2017,RAPE,,,,
9/19/20 5:44,2020,RAPE,,,,
1/2/17 0:00,2017,RAPE,,,,
7/4/20 3:28,2020,RAPE,,,,
2/23/17 18:00,2017,RAPE,,,,
7/6/20 16:45,2020,RAPE,,,,
11/27/17 14:00,2017,RAPE,,,,
4/30/17 1:00,2017,RAPE,,,,
11/16/20 5:04,2020,RAPE,,,,
9/23/20 20:06,2020,RAPE,,,,
9/25/20 17:13,2020,BURGLARY/B&E,700  ATKINS RD,72211,34.747278,-92.416452
12/29/18 15:50,2018,RAPE,,,,
6/15/18 20:00,2018,RAPE,,,,
1/7/20 10:30,2020,BURGLARY/B&E,3302 CHESTER ST,72206,,
11/23/20 1:45,2020,RAPE,,,,
10/12/17 0:56,2017,RAPE,,,,
7/4/19 19:00,2019,RAPE,,,,
9/25/20 17:05,2020,RAPE,,,,
10/5/20 21:40,2020,RAPE,,,,
5/16/20 5:40,2020,RAPE,,,,
1/12/17 11:10,2017,RAPE,,,,
2/3/20 20:00,2020,RAPE,,,,
10/7/20 15:14,2020,RAPE,,,,
3/12/19 16:00,2019,RAPE,,,,
3/27/20 22:00,2020,RAPE,,,,
12/13/18 15:00,2018,RAPE,,,,
11/19/20 18:28,2020,RAPE,,,,
9/28/19 2:00,2019,RAPE,,,,
11/20/19 19:13,2019,RAPE,,,,
7/22/17 23:23,2017,RAPE,,,,
10/8/17 10:26,2017,RAPE,,,,
1/31/18 16:27,2018,RAPE,,,,
10/9/18 13:00,2018,RAPE,,,,
10/1/18 0:01,2019,RAPE,,,,
5/24/18 18:44,2018,RAPE,,,,
2/24/19 8:50,2019,RAPE,,,,
1/1/17 0:01,2019,RAPE,,,,
2/20/17 2:00,2017,RAPE,,,,
8/19/18 0:15,2018,BURGLARY/B&E,,,,
9/15/18 4:00,2018,BURGLARY/B&E,,,,
11/8/17 0:00,2017,RAPE,,,,
10/6/19 12:12,2019,RAPE,,,,
3/17/17 14:00,2017,RAPE,,,,
3/22/19 12:08,2019,RAPE,,,,
7/16/17 2:30,2017,RAPE,,,,
2/22/19 22:00,2019,RAPE,,,,
7/17/19 17:45,2019,RAPE,,,,
3/15/18 22:14,2018,RAPE,,,,
1/9/20 11:00,2020,RAPE,,,,
11/18/17 15:45,2017,RAPE,,,,
12/19/18 4:59,2018,RAPE,,,,
10/11/19 15:40,2019,AGGRAVATED ASSAULT,MELLWOOD ROAD,72204,,
11/10/19 12:00,2019,RAPE,,,,
1/6/18 20:00,2018,RAPE,,,,
12/26/19 11:51,2019,RAPE,,,,
10/31/19 22:00,2019,RAPE,,,,
6/21/19 2:53,2019,RAPE,,,,
1/3/19 22:00,2019,RAPE,,,,
6/23/17 22:00,2017,RAPE,,,,
1/9/18 8:25,2018,AGGRAVATED ASSAULT,500 W 8TH ST,72202,34.760875,-92.272652
12/7/17 17:00,2017,RAPE,,,,
10/1/19 19:00,2019,RAPE,,,,
6/17/17 23:00,2017,RAPE,,,,
9/15/19 11:00,2019,RAPE,,,,
6/23/17 19:00,2017,RAPE,,,,
9/29/19 1:15,2019,RAPE,,,,
12/1/18 15:30,2018,RAPE,,,,
8/29/18 23:30,2018,RAPE,,,,
4/26/19 1:57,2019,RAPE,,,,
8/27/17 22:00,2017,RAPE,,,,
3/11/17 16:00,2017,RAPE,,,,
8/19/18 2:00,2018,RAPE,,,,
3/12/20 15:00,2020,RAPE,,,,
4/23/20 9:00,2020,RAPE,,,,
10/5/17 20:00,2017,RAPE,,,,
6/30/17 11:40,2017,RAPE,,,,
2/4/17 2:00,2017,RAPE,,,,
12/26/19 22:00,2020,RAPE,,,,
3/16/19 19:00,2019,RAPE,,,,
3/25/20 12:47,2020,RAPE,,,,
10/16/18 13:20,2018,RAPE,,,,
4/20/17 20:00,2017,BURGLARY/B&E,3604 ARAPAHO TRL,72209,34.626132,-92.337949
10/1/19 0:00,2020,RAPE,,,,
6/27/17 22:19,2017,RAPE,,,,
4/15/19 12:00,2019,RAPE,,,,
9/17/19 14:30,2019,RAPE,,,,
10/3/19 19:00,2019,RAPE,,,,
1/4/19 1:00,2019,RAPE,,,,
10/18/17 0:01,2018,RAPE,,,,
9/7/19 8:00,2019,RAPE,,,,
1/31/18 5:00,2018,RAPE,,,,
10/17/18 23:00,2018,RAPE,,,,
10/5/18 0:01,2018,RAPE,,,,
12/28/19 18:28,2019,RAPE,,,,
3/2/17 16:00,2017,RAPE,,,,
10/10/19 17:30,2019,BURGLARY/B&E,4000 W 11TH ST,72204,34.741657,-92.318013
5/7/17 3:10,2017,RAPE,,,,
2/2/18 19:00,2018,RAPE,,,,
11/3/18 6:15,2018,RAPE,,,,
1/2/20 16:00,2020,RAPE,,,,
7/26/19 15:00,2019,RAPE,,,,
9/15/17 3:14,2017,RAPE,,,,
8/17/18 0:00,2018,RAPE,,,,
1/1/17 5:00,2017,RAPE,,,,
8/13/17 0:30,2017,RAPE,,,,
12/2/18 23:20,2018,RAPE,,,,
6/20/17 11:00,2017,RAPE,,,,
10/8/19 14:00,2019,RAPE,,,,
9/30/17 17:10,2017,RAPE,,,,
10/26/18 11:00,2018,RAPE,,,,
9/14/19 18:00,2019,RAPE,,,,
1/5/19 15:00,2019,RAPE,,,,
5/18/19 13:30,2019,RAPE,,,,
4/27/17 2:00,2017,RAPE,,,,
11/29/17 10:50,2017,RAPE,,,,
10/1/18 21:45,2018,RAPE,,,,
4/18/17 14:45,2017,RAPE,,,,
1/3/17 17:00,2017,BURGLARY/B&E,,,,
10/23/19 21:00,2019,RAPE,,,,
1/23/17 21:00,2017,ROBBERY,,,,
5/30/18 23:09,2018,RAPE,,,,
2/1/18 0:00,2019,RAPE,,,,
8/27/17 22:00,2017,RAPE,,,,
1/3/17 17:00,2017,RAPE,,,,
6/7/19 20:18,2019,RAPE,,,,
4/13/19 23:00,2019,RAPE,,,,
3/12/20 21:30,2020,RAPE,,,,
4/17/18 16:31,2018,ROBBERY,,,,
8/31/17 19:22,2017,RAPE,,,,
6/15/17 0:00,2017,RAPE,,,,
1/11/19 20:20,2019,RAPE,,,,
11/22/18 13:00,2018,RAPE,,,,
3/15/20 5:35,2020,RAPE,,,,
4/5/20 13:34,2020,RAPE,,,,
6/8/18 7:30,2018,RAPE,,,,
8/10/17 2:00,2017,RAPE,,,,
6/5/17 2:30,2017,RAPE,,,,
4/26/19 22:00,2019,RAPE,,,,
8/16/17 0:27,2017,RAPE,,,,
6/23/17 17:00,2017,RAPE,,,,
11/28/17 23:00,2017,RAPE,,,,
8/28/17 0:30,2017,RAPE,,,,
3/7/18 18:10,2018,RAPE,,,,
12/10/19 0:30,2019,RAPE,,,,
6/26/17 11:53,2017,RAPE,,,,
3/2/17 23:00,2017,RAPE,,,,
6/2/17 15:10,2017,RAPE,,,,
7/3/17 14:00,2017,RAPE,,,,
1/23/17 21:00,2017,RAPE,,,,
10/8/19 14:00,2019,RAPE,,,,
9/26/19 10:00,2019,RAPE,,,,
1/17/18 16:29,2018,RAPE,,,,
3/29/20 11:45,2020,RAPE,,,,
6/30/18 0:35,2018,RAPE,,,,
8/30/18 22:00,2018,RAPE,,,,
5/14/19 11:00,2019,RAPE,,,,
7/20/18 3:00,2018,RAPE,,,,
2/11/19 3:00,2019,RAPE,,,,
4/5/20 6:44,2020,AGGRAVATED ASSAULT,,,,
4/23/19 1:00,2019,RAPE,,,,
9/20/17 23:00,2017,RAPE,,,,
7/10/18 1:00,2018,RAPE,,,,
3/26/19 16:00,2019,RAPE,,,,
3/17/18 18:30,2018,RAPE,,,,
1/9/18 12:00,2018,RAPE,,,,
1/14/20 5:00,2020,RAPE,,,,
1/21/18 17:30,2018,RAPE,,,,
3/14/18 19:00,2018,RAPE,,,,
3/3/17 0:00,2018,RAPE,,,,
3/4/18 18:00,2018,RAPE,,,,
9/15/17 12:40,2017,RAPE,,,,
8/8/19 11:31,2019,RAPE,,,,
4/20/18 16:18,2018,RAPE,,,,
1/29/17 14:00,2017,RAPE,,,,
11/16/17 2:00,2018,RAPE,,,,
3/6/20 2:48,2020,RAPE,,,,
4/23/18 22:32,2018,RAPE,,,,
9/29/17 2:22,2017,RAPE,,,,
6/1/18 23:05,2018,RAPE,,,,
9/6/19 14:46,2019,RAPE,,,,
4/27/18 14:15,2018,RAPE,,,,
4/19/18 23:00,2018,RAPE,,,,
1/8/17 3:00,2017,RAPE,,,,
6/7/18 10:30,2018,RAPE,,,,
9/1/17 12:00,2017,RAPE,,,,
5/17/19 17:47,2019,RAPE,,,,
6/29/18 0:00,2018,RAPE,,,,
3/1/18 11:00,2018,RAPE,,,,
10/24/17 19:46,2017,RAPE,,,,
3/16/17 6:33,2017,RAPE,,,,
8/17/17 15:00,2017,RAPE,,,,
12/3/17 3:20,2017,RAPE,,,,
2/20/18 1:06,2018,RAPE,,,,
1/22/18 8:00,2018,RAPE,,,,
10/21/17 0:55,2017,RAPE,,,,
7/1/17 0:01,2017,RAPE,,,,
7/16/19 14:54,2019,RAPE,,,,
2/10/18 21:30,2018,RAPE,,,,
12/26/18 8:00,2019,RAPE,,,,
12/30/19 10:10,2019,BURGLARY/B&E,22 ROCCO DR,72209,34.670694,-92.314839
6/8/18 7:30,2018,RAPE,,,,
4/13/17 3:00,2017,RAPE,,,,
6/10/18 23:44,2018,RAPE,,,,
1/1/20 15:00,2020,RAPE,,,,
12/22/17 12:00,2017,RAPE,,,,
7/21/19 2:00,2019,RAPE,,,,
4/5/20 19:00,2020,RAPE,,,,
1/9/20 7:30,2020,BURGLARY/B&E,9008 STILLMAN DR,72209,,
8/21/17 22:30,2017,RAPE,,,,
2/1/18 0:00,2018,RAPE,,,,
3/30/18 12:20,2018,BURGLARY/B&E,200 E 27TH ST,72206,34.72299,-92.27304
8/1/19 8:00,2019,RAPE,,,,
12/13/19 1:30,2019,RAPE,,,,
2/15/18 23:50,2018,ROBBERY,301 S OAK ST,72205,34.749553,-92.315332
6/10/18 23:00,2018,RAPE,,,,
12/10/18 13:50,2018,RAPE,,,,
9/1/18 0:01,2019,RAPE,,,,
3/1/17 13:00,2017,BURGLARY/B&E,5003 OPAL ST,72209,34.673699,-92.334192
7/24/18 17:45,2018,RAPE,,,,
3/19/17 13:00,2017,RAPE,,,,
6/27/17 20:00,2017,RAPE,,,,
1/11/20 5:56,2020,RAPE,,,,
11/3/19 2:00,2019,BURGLARY/B&E,,,,
5/16/20 17:15,2020,RAPE,,,,
6/5/18 0:30,2018,RAPE,,,,
3/1/18 0:00,2018,RAPE,,,,
10/27/18 1:00,2018,RAPE,,,,
10/30/17 2:30,2017,RAPE,,,,
12/1/18 0:00,2019,RAPE,,,,
1/1/19 12:00,2019,RAPE,,,,
1/8/18 22:30,2018,RAPE,,,,
1/17/19 6:00,2019,RAPE,,,,
12/18/17 7:30,2017,AGGRAVATED ASSAULT,3120 JOSHUA ST,72204,34.723357,-92.32208
4/18/19 2:00,2019,RAPE,,,,
11/9/17 12:00,2017,RAPE,,,,
3/17/19 13:50,2019,RAPE,,,,
4/26/18 20:30,2018,RAPE,,,,
7/6/18 1:00,2018,RAPE,,,,
8/8/18 2:45,2018,RAPE,,,,
1/22/18 5:30,2018,BURGLARY/B&E,520 W 7TH ST,72201,34.742964,-92.277258
3/20/20 11:00,2020,RAPE,,,,
12/12/19 12:41,2019,RAPE,,,,
4/28/19 7:46,2019,RAPE,,,,
1/2/19 3:00,2020,RAPE,,,,
9/4/18 22:56,2018,RAPE,,,,
2/6/18 16:00,2018,RAPE,,,,
6/11/20 0:00,2020,ROBBERY,1315  ADAMS ST,72204,34.739424,-92.324832
8/18/18 1:00,2018,ROBBERY,500 S SCOTT ST,72201,34.743988,-92.269914
4/30/17 19:40,2017,AGGRAVATED ASSAULT,2111 ALDERSGATE RD,72205,34.733986,-92.390348
11/17/19 16:33,2019,ROBBERY,1100 E ROOSEVELT RD,72206,34.72394,-92.260713
2/13/17 21:00,2017,BURGLARY/B&E,3717 BRUNO RD,72209,34.665683,-92.320314
3/20/20 9:00,2020,AGGRAVATED ASSAULT,3518 ARAPAHO TRL,72209,34.661156,-92.318768
3/1/17 17:45,2017,AGGRAVATED ASSAULT,3503 W 11TH ST,72204,34.741187,-92.31235
1/14/19 17:25,2019,AGGRAVATED ASSAULT,3600 W 11TH ST,72204,34.741238,-92.313484
11/9/17 12:10,2017,BURGLARY/B&E,724 E 9TH ST,72202,34.739533,-92.263215
12/21/17 8:00,2017,AGGRAVATED ASSAULT,9108 N RODNEY PARHAM RD,72205,34.757639,-92.376299
7/20/17 10:27,2017,BURGLARY/B&E,14 ROLLING LN,72209,34.700067,-92.335357
6/22/19 0:30,2019,AGGRAVATED ASSAULT,10611 WOODMAN ST,72103,34.654061,-92.388174
6/27/18 18:00,2018,BURGLARY/B&E,6414 BASELINE RD,72209,34.669327,-92.349561
12/15/18 0:00,2019,BURGLARY/B&E,1716 S PINE ST,72204,34.735376,-92.317028
5/25/17 3:53,2017,AGGRAVATED ASSAULT,5609 CHAUCER LN,72209,34.672861,-92.340074
7/16/20 3:56,2020,AGGRAVATED ASSAULT,4623 W 25TH ST,72204,34.7288,-92.325975
9/16/19 21:59,2019,AGGRAVATED ASSAULT,5624 SOUTHWICK DR,72209,34.66591,-92.341113
3/3/20 3:00,2020,BURGLARY/B&E,2809 N FILLMORE ST,72207,34.777868,-92.336738
6/10/19 6:16,2019,AGGRAVATED ASSAULT,3601 W ROOSEVELT RD,72204,34.725332,-92.314061
1/18/18 1:03,2018,AGGRAVATED ASSAULT,101 SANTA FE TRL,72205,34.753661,-92.381219
9/20/20 19:21,2020,AGGRAVATED ASSAULT,3101  BOYLE PARK RD,72204,34.725115,-92.355764
4/3/18 18:43,2018,BURGLARY/B&E,5201 GEYER SPRINGS RD,72209,34.702072,-92.342764
12/30/17 1:45,2017,BURGLARY/B&E,2416 S CHESTER ST,72206,34.725094,-92.284876
12/27/19 14:20,2019,BURGLARY/B&E,4220 W 11TH ST,72204,34.741738,-92.320794
9/23/18 16:00,2018,AGGRAVATED ASSAULT,10205 MABELVALE PLAZA DR,72205,34.67764,-92.3785
2/26/20 15:10,2020,BURGLARY/B&E,4607 HOFFMAN RD,72209,34.69706,-92.327473
9/23/19 11:00,2019,RAPE,,,,
6/14/17 11:12,2017,BURGLARY/B&E,2710 S BATTERY ST,72206,34.722817,-92.294574
11/21/18 6:30,2018,BURGLARY/B&E,11901 PLEASANT RIDGE RD,72223,34.793459,-92.407879
10/14/19 6:00,2019,BURGLARY/B&E,914 APPERSON ST,72202,34.738191,-92.242649
2/20/18 10:00,2018,BURGLARY/B&E,17 BELMAR DR,72209,34.699189,-92.349791
12/1/20 20:10,2020,BURGLARY/B&E,1316  GAMBLE RD,72211,34.741896,-92.418601
