Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
Cornish House,,"The Cornish House, at 1800 Arch Street is a Craftsman and Tudor Revival style house, built for financier Ed Cornish. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architect Theo Sanders and constructed in 1917.  This project ended up being one of Sanders most notable designs.  This three-story rectangular house features a unique blend of brick, cast stone, and granite on the façade and is topped off with a green terra-cotta roof.",1800  S Arch,Governor's Mansion Historic District,1916,POINT (-92.280104674012 34.732020610514),-92.28010467,34.73202061,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1469/PU1469.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1469/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1469/PU1469_ai.pdf
Schaer House,,"The Schaer House, at 1862 Arch Street, is a Craftsman style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architects Thompson and Harding and constructed in 1923.  This two-story, modest sized home is an unusual design because it features a porte-cochere, a hipped terra-cotta roof, and a brick parapet wall.",1862  S Arch,Governor's Mansion Historic District,1923,POINT (-92.280039530836 34.731091138984),-92.28003953,34.73109114,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1472/PU1472.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1472/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1472/PU1472_ai.pdf
"Fowler, Absalom House",,"The Absalom Fowler House is located at 502 E. 7th St.  The house was built around 1840 and Mr. Fowler was the architect, which was typical for that time. The house resembles Thomas Jefferson’s classical designs. While Mr. Fowler owned the house he was practicing law and was a prosperous politician. Confederate Major John D. Adams later owned the property.  Between the years of 1923 and 1961 the Absalom Fowler house was used as St. Andrew’s Catholic School. The structure was listed on the National Register of Historic Places on 6/4/1973.",502  E 7th,Macarthur Park Historic District,1840,POINT (-92.266442853657 34.741889915802),-92.26644285,34.74188992,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3142/PU3142.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3142/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3142/PU3142_ai.pdf
Green House,,"The Green House, located at 1224 West 21st Street, is a Bungalow style house. Listed in the National Register of Historic Places in 5/28/1999, it was constructed in 1916 for William Alexander and later bought by the Ernest G. Green, Sr. family.  Green Sr.’s son, Ernest Green, Jr., was the first African American student to graduate from Central High school. Green Jr. went on to be the Assistant Secretary of labor for Employment and Training for President Jimmy Carter and then later on, a Shearson Lehman Brothers, Inc. investment banker.",1224  W 21st,,1916,POINT (-92.288085511931 34.729214417292),-92.28808551,34.72921442,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9825/PU9825.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9825/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9825/PU9825_ai.pdf
Vinson House,,The Vinson House is located in a district full of historic houses and buildings. C. L. Thompson uses neo-classical architecture making it both elegant and significant in contribution to the architectural history of Little Rock. The house was constructed in 1905. The structure was listed on the National Register of Historic Places on 5/6/1975.,2123  S Broadway,Governor's Mansion Historic District,1905,POINT (-92.278334469449 34.727842950652),-92.27833447,34.72784295,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1411/PU1411.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1411/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1411/PU1411_ai.pdf
Moore Building,,"The Moore Building is a good example of a Spanish Revival design, an architectural style that is rarely seen in downtown Little Rock. The structure was listed on the National Register of Historic Places on 10/23/1986.  The building was designed for real estate developer Melford B. Moore by the architectural firm of Charles Thompson, Theodore Sanders, and Frank Ginocchio. The architects were also required to accommodate the needs of Draughon’s School of Business which has occupied the Sixth Street office space for many years.",519  S Center,,1929,POINT (-92.273444083727 34.743641857511),-92.27344408,34.74364186,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0289/PU0289.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0289/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0289/PU0289_ai.pdf
Professional Services Building,Shopping Center At 1304 Wright Avenue,"The Arkansas Teachers Association Headquarters Building is located at 1306 Wright Avenue and the Professional Services Building is located at 1304 Wright Ave.  They were both designed by the architectural firm of George Henry Tschiemer & Associates of Pine Bluff, Arkansas, in the early 1960s. The two lots along Wright Avenue were originally purchased from the Little Rock School District in early 1961. Both buildings were constructed by the Smith Brothers General Contractors of North Little Rock, Arkansas, and completed by 1965.  They are listed for their association with the Civil-Rights movement in Little Rock and the State during the 1960’s.",1304 Wright Avenue,,1965,POINT (-92.288620394723 34.732476898742),-92.28862039,34.7324769,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6758/PU6758.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6758/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6758/PU6758_ai.pdf
Quaker Meeting House,,"The H.M. Anderson House, located at 3415 West Markham Street, is a Craftsman Bungalow style house. Listed in the National Register of Historic Places in 5/2/2001, it was constructed in 1926 for Henry M. Anderson and his wife.  This one-and-one-half story stone and weatherboard home features a gabled roof and a porte-cochere.   The home is surrounded by an unusual iron and stone fence.",3415  W Markham,,1926,POINT (-92.311546756051 34.750928809835),-92.31154676,34.75092881,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9377/PU9377.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9377/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9377/PU9377_ai.pdf
"Gans, Solomon House- Remmel Building",,"The Solomon Gans House, also known as the Remmel Building, located at 1010 West Third Street, is the only Richardsonian Romanesque Revival style of house in Little Rock. Listed in the National Register of Historic Places in 3/29/1984, it was constructed in 1896 by Solomon Gans in, at that time, an upscale neighborhood.  Gans, a partner in the clothing store “Gans and Sons”, built this unique gray granite home.  This house features three towers and a gable roof.",1010  W 3rd,,1886,POINT (-92.281844975426 34.747952267226),-92.28184498,34.74795227,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3563/PU3563.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3563/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3563/PU3563_ai.pdf
Abrams House,,"The Abrams House at 300 S. Pulaski, has a Queen-Anne style floor plan and modest Colonial Revival style decorative with details. The wraparound porch is the home’s main decorative feature.  It was named for Charles W. and Maggie Abrams. Charles Abrams was a foreman and master mechanic for the St. Louis, Iron Mountain,  and Southern Railway.",300  S Pulaski,,1904,POINT (-92.285266088613 34.747963658367),-92.28526609,34.74796366,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4495/PU4495.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4495/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4495/PU4495_ai.pdf
Wallace Building- Block 2 Lofts,,"The Wallace Building is a nine-story commercial structure designed by the architectural firm of Mann, Wanger & King and built in 1928 and is the largest and maybe best example of an Art Deco office building in downtown.  The structure was listed on the National Register of Historic Places on 2/18/1999.  In 1928, former Arkansas governor George W. Donaghey constructed the structure as an office building.  It was named the ""Wallace Building."" Wallace was the maiden name of his wife, Louvenia Wallace Donaghey.",101  S Main,,1928,POINT (-92.270133946685 34.747580948597),-92.27013395,34.74758095,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0178/PU0178.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0178/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0178/PU0178_ai.pdf
Mims-Breedlove-Priest-Weatherton House,,"The Mims-Breedlove-Priest-Weatherton House, located at 2108 Beechwood Avenue, is an excellent example of a Craftsman Bungalow style house. Listed in the National Register of Historic Places in 12/3/1998, it was built in 1910 by D. H. Shank Construction for H. T. Mims. This one-and-one-half story weathered board house features a gabled roof and a wide dormer with four windows.  A stone chimney and French doors add extra detail to the house.",2108  N Beechwood,,1910,POINT (-92.324545478454 34.771105583635),-92.32454548,34.77110558,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9835/PU9835.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9835/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9835/PU9835_ai.pdf
Chisum House,Chisum-Reeves-Matthews House,"The Chisum House, at 1320 Cumberland is a classic example of a Queen Anne style house. Listed in the National Register of Historic Places 12/4/1975, it was constructed in 1894 by the socially prominent Jason Sowell. His daughter and her husband, Oscar Clifton Chisum, lived in the house with Sowell, hence the name.  This three-story, wooden house draws attention due to the many different gables and its style which is uncommonly found in Little Rock.",1320  S Cumberland,Macarthur Park Historic District,1894,POINT (-92.270668658088 34.735244482841),-92.27066866,34.73524448,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2916/PU2916.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2916/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2916/PU2916_ai.pdf
"Retan, Albert House",,"In 1983 Albert Retan’s house was one of the first built in the Pulaski Heights area. Eight investors gathered to form the Pulaski Heights Land Company where they bought 800 acres of land in what was then west Little Rock. One of the eight investors, Retan soon moved his family from Michigan to Arkansas. The subdivision had much success becoming its own town; however, in 1916 it was annexed into Little Rock. Retan’s house is still intact and symbolizes growth, founding, and success for the Pulaski Heights area.  The structure was listed on the National Register of Historic Places on 12/3/1980.",506  N Elm,Hillcrest Historic District,1893,POINT (-92.318638435872 34.75558660861),-92.31863844,34.75558661,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0505/PU0505.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0505/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0505/PU0505_ai.pdf
"Robinson, Joseph Taylor Memorial Auditorium",Robinson Center Music Hall,"The Joseph Taylor Robinson Memorial Auditorium, also known as Robinson Center, at 414 West Markham Street, is an Art Deco style structure. Listed in the National Register of Historic Places in 2/21/2007, it was designed by architects Eugene Stern and thee Wittenberg Delony firm and constructed in 1939.  Constructed of brick and concrete, this massive building features six Doric columns.  This auditorium has played an important role in bringing arts and music to the state of Arkansas. It was remodeled in the late 1960s and again in 2016.",414  W Markham,,1939,POINT (-92.274509161616 34.749160391882),-92.27450916,34.74916039,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4546/PU4546.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4546/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4546/PU4546_ai.pdf
Johnson House #2,Cromwell Court Apartments,"The Johnson House, now known as part of the Cromwell Court Apartments, located at 516 East 8th Street, is a Colonial Revival style home. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1900.  This two-story, weatherboard house is capped by a hipped and gable roof.  White, Tuscan columns surround the wide front porch.",516  E 8th,Macarthur Park Historic District,1900,POINT (-92.266131217758 34.740822275793),-92.26613122,34.74082228,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2841/PU2841.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2841/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2841/PU2841_ai.pdf
Beyerlein House #2,,"Built circa 1917, the Beyerlein House is an excellent example of Craftsman architectural style. It is located in the historic Governor’s Mansion neighborhood. This house is known for its use of the Prairie style in interesting and dramatic ways. The structure was listed on the National Register of Historic Places on 12/22/1982 and was designed by the Thompson and Harding firm.",412  W Daisy L Gatson Bates,Governor's Mansion Historic District,1916,POINT (-92.276882903143 34.736075397197),-92.2768829,34.7360754,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1238/PU1238.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1238/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1238/PU1238_ai.pdf
Vaughan House,,"Built in 1910, Charles L. Thompson used Colonial Revival as the architectural design style. The Vaughn House is another variation of Thompson’s firm's standard two-story, three-bay designs of frame construction; however, it is more vertical in orientation compared to similar houses. The full length porch provides balance by featuring large granite piers on either end of the porch. The structure was listed on the National Register of Historic Places on 12/22/1982.",2201  S Broadway,Governor's Mansion Historic District,1908,POINT (-92.278359770388 34.72745713646),-92.27835977,34.72745714,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1414/PU1414.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1414/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1414/PU1414_ai.pdf
Terminal Hotel,Station House Apartments,The Terminal Hotel is an architecturally significant Neo-Colonial Revival structure as evidence by the regularity of its massing.  The Terminal Hotel was constructed in 1905 as a railroad hotel.  It is sited across Victory Street from the MoPac Depot.  The structure was listed on the National Register of Historic Places on 11/17/1978.  The building has been restored since listing with the storefronts and balcony being restored.,101  S Victory,,1905,POINT (-92.285574760683 34.74996137872),-92.28557476,34.74996138,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3249/PU3249.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3249/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3249/PU3249_ai.pdf
Rose Building,,"The Rose building is a two-story, symmetrically massed commercial structure in the Neoclassical Revival Style.  The structure was listed on the National Register of Historic Places on 11/13/1986.  Built by and named for Arkansas Supreme Court Justice Uriah M. Rose, the building housed Arkansas’ oldest and at one time largest bookstore, Allsopp & Chapple.  The Rose building remains an outstanding example of Little Rock’s commercial architecture of that period.  Note the fountain from the Metrocentre mall in the foreground.",307  S Main,Main Street Commercial District,1880,POINT (-92.270550677415 34.745750046405),-92.27055068,34.74575005,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0194/PU0194.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0194/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0194/PU0194_ai.pdf
Kahn-Jennings House,,"The Kahn-Jennings House, at 5300 Sherwood Street, is an English Revival style house that was built for Sidney L. Kahn, Sr., who developed the Prospect Terrace neighborhood and was president of the Little Rock Realty Association. Listed in the National Register of Historic Places in 9/8/1992, it was designed by architect Maximillian F. Mayer and constructed in 1927.  This large two-story home was built with stone, brick, and limestone and is topped with a ceramic tile roof.  Elaborate detail is seen throughout the house from the limestone carvings to the unique ironwork.",5300  Sherwood,,1927,POINT (-92.332479660235 34.765035104095),-92.33247966,34.7650351,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3870/PU3870.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3870/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3870/PU3870_ai.pdf
St Peter'S Rock Baptist Church,Greater Little Rock Quartet Singing,"The St. Peter’s Rock Baptist Church, also known as the Greater Little Rock Quartet Singing Center, located at 1401 West 18th Street, is a Gothic Revival and Carpenter style building.  Listed in the National Register of Historic Places in 1/20/2005, it was constructed in 1941. This brick building has played a significant role in the African American community in Little Rock as a house of worship and as a cultural center.",1401  W 18th St,,1941,POINT (-92.288565889863 34.733294434696),-92.28856589,34.73329443,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8171/PU8171.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8171/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8171/PU8171_ai.pdf
Compton-Wood House,"Doll House, The","The Compton-Wood House, also known as the Doll House, was originally built at 800 Dr. Martin Luther King Drive, is a Queen Anne style home. Listed in the National Register of Historic Places in 5/7/1980, it was constructed in 1902 for William A. Compton, a lawyer and politician, and later purchased by Journey Wood, a Missouri-Pacific Railroad engineer.   This two-story home has many different roof elevations with a three-story tower, to make it an architecturally interesting structure.  It was later moved to the Spring Street location where it continues use as a residence.",1305  S Spring,Governor's Mansion Historic District,1902,POINT (-92.276050252741 34.736503417864),-92.27605025,34.73650342,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3231/PU3231.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3231/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3231/PU3231_ai.pdf
Roselawn Memorial Park Gatehouse,,"The Roselawn Memorial Park Gatehouse, located at 2801 Asher, is a Spanish and Colonial Revival style structure that was built to be a gatehouse to the cemetery. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architects Thompson and Harding and constructed in 1924. This one-story, stucco gatehouse has a gable roof and cobblestones covering the foundation.  A brick, arched entryway leads to the entrance from the front and side.",2801  Asher Ave,,1924,POINT (-92.304737133358 34.7308235258),-92.30473713,34.73082353,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3166/PU3166.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3166/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3166/PU3166_ai.pdf
"Runyan, J P House",,"The J. P. Runyan House, also known as the Joseph Shinpaugh House, located at 1514 South Schiller Street, is an excellent example of a Classical Revival style house. Listed in the National Register of Historic Places in 8/18/1992, it was constructed in 1901 for Joseph P. Ruyan, a noted surgeon and owner of Saint Luke’s Hospital.  This one-and-one-half story house features a weatherboard façade with a wide front porch that is detailed with multiple white columns.",1514  S Schiller,Central High School Neighborhood Historic District,1901,POINT (-92.296855332474 34.736100082914),-92.29685533,34.73610008,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3798/PU3798.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3798/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3798/PU3798_ai.pdf
Little Rock Federal Building,,"The Little Rock Federal Building was built from 1959-1961.  The building remains a good example of an early 1960s designed high rise Federal office building.  The exterior of the building retains sufficient integrity to convey important aspects of the original design and period of construction.  It was designed by Swain & Allen Architects and Ginocchio, Cromwell & Associates, Architects.  It was built by Robert E McKee Construction Company and was listed on the National Register of Historic Places on 5/5/15.",700  W Capitol,,1961,POINT (-92.278789917825 34.745661553583),-92.27878992,34.74566155,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8527/PU8527.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8527/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8527/PU8527_ai.pdf
Little Rock Boys Club,,"The Little Rock Boys Club is located at 801 S. Scott. It was built in 1930 with a Colonial Revival style. The club was listed in the National Register of Historic Places on 12-22-1982. The architects for the building were the popular Charles L. Thompson and his partners, Theodore M. Sanders and Frank J. Ginocchio.",801  S Scott,,1930,POINT (-92.27026530984 34.74080374934),-92.27026531,34.74080375,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3168/PU3168.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3168/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3168/PU3168_ai.pdf
